id,car_name,des_1,des_2,des_3,des_4,des_5,des_6,des_7,des_8,des_9,des_10,des_11,des_12,des_13,des_14,des_15,des_16,des_17,des_18,des_19,des_20,des_21,des_22,des_23,des_24,des_25,des_26,des_27,des_28,des_29,ima_1,ima_2,ima_3,ima_4,ima_5,ima_6,ima_7,ima_8,ima_9,ima_10,ima_11,ima_12,ima_13,ima_14
24,Mercedes-Benz_G-class_(Mk2)_(W463)_2019,-0.035,0.303,0.021,0.066,0.022,-0.075,0.177,0.081,-0.47,0.0,0.129705,1.1,-0.202,0.237,-0.055,-0.109,0.087,-0.07,0.07,1.005,0.002,0.107438017,-0.02,0.145,0.005,-0.149,0.091,0.24,0.042,1.807692308,1.615384615,1.576923077,2.5,1.730769231,4.384615385,3.423076923,3.269230769,3.5,2.653846154,4.461538462,3.192307692,3.384615385,3.769230769
25,Mercedes-Benz_GLA-class_(H247)_Progressive_Line_Edition_1_2020,0.063,0.072,-0.039,0.055,0.054,0.015,0.051,-0.113,0.14,0.0,0.060255,1.092,0.0,-0.138,0.003,0.01,0.104,-0.07,0.066,0.134,0.014,-0.035968992,-0.025,-0.02,0.04,0.039,-0.005,0.025,-0.014,4.28,3.48,4.72,3.36,4.04,3.56,3.28,3.6,3.72,3.76,4.36,4.2,3.92,4.64
26,Nissan_Ariya_e-4orce_2020,0.126,0.066,-0.048,0.071,0.0,0.082,0.053,-0.02,0.216,-0.027,0.063905,0.99,0.0,-0.272,-0.068,-0.086,0.004,0.0,0.0,-0.003,0.0,0.30206422,-0.007,-0.073,0.017,0.022,-0.015,0.078,-0.036,3.428571429,3.571428571,5.761904762,4.0,4.523809524,4.19047619,4.714285714,3.80952381,3.666666667,2.857142857,3.80952381,4.047619048,4.380952381,4.047619048
27,Nissan_Juke_(Mk2)_2020,0.083,-0.143,-0.044,0.038,-0.019,0.015,0.141,0.015,-0.039,0.0,0.037605,1.053,-0.003,0.076,-0.103,-0.007,0.143,0.0,0.0,0.017,0.002,0.883969466,0.059,-0.07,0.013,-0.006,0.038,0.007,0.0,4.2,3.333333333,4.6,5.0,3.533333333,5.066666667,4.133333333,4.8,5.333333333,5.333333333,5.866666667,5.066666667,5.0,5.333333333
28,Suzuki_Jimny_(Mk4)_(JB74)_Sierra_2019,0.0,0.417,0.029,0.07,-0.004,-0.031,0.161,-0.064,-0.523,0.0,0.052995,1.095,0.0,0.327,-0.347,-0.196,0.285,0.003,0.063,1.194,0.0,1.276923077,-0.022,0.071,0.104,-0.178,0.167,0.222,0.012,4.75,3.4,2.0,2.9,2.8,4.4,3.75,5.3,5.55,5.0,5.1,5.3,4.85,5.4
29,Toyota_Harrier_(Mk4)_2020,0.134,-0.039,-0.04,0.155,0.094,0.051,0.092,0.1,0.087,0.0,0.07832,1.024,-0.065,-0.041,0.058,0.094,-0.074,0.0,0.0,0.107,0.011,0.409984399,0.034,-0.041,0.035,0.0,-0.011,0.105,0.021,4.285714286,3.714285714,5.095238095,4.142857143,4.380952381,3.333333333,4.333333333,3.0,2.714285714,2.523809524,3.333333333,3.380952381,3.761904762,3.666666667
30,Volvo_C40_Recharge_2021,-0.01,-0.164,-0.084,0.084,0.065,0.018,0.074,-0.001,0.019,0.0,0.0349,1.044,0.0,-0.017,-0.075,-0.076,0.048,0.0,0.0,-0.005,0.0,0.691410049,0.019,-0.048,0.005,-0.023,0.01,0.042,-0.006,3.714285714,3.535714286,4.035714286,4.25,3.964285714,4.107142857,4.0,3.535714286,3.464285714,3.321428571,4.214285714,4.321428571,3.642857143,4.285714286
31,Volvo_XC60_(Mk2)_T6_Inscription_2017,0.043,0.068,-0.01,0.103,0.058,0.028,0.026,-0.016,-0.021,0.0,0.09167,1.025,-0.041,0.065,-0.027,-0.096,0.003,0.0,0.0,0.411,0.021,0.786168224,0.042,-0.024,-0.038,0.061,0.032,-0.045,-0.01,3.6,3.35,3.75,4.15,4.5,3.9,3.85,3.2,3.0,3.1,4.05,3.75,3.75,4.2
32,BMW_X1_(Mk2)_(F48)_2015,-0.135,0.1,-0.054,0.045,-0.018,-0.042,0.058,-0.037,-0.134,0.0,0.053065,1.013,-0.069,0.078,0.003,-0.128,-0.071,0.0,0.0,0.454,0.047,0.095402299,0.015,-0.014,0.033,-0.088,-0.029,-0.005,-0.049,3.45,2.95,3.35,3.45,3.05,3.55,3.8,2.7,2.45,2.6,4.05,3.7,3.75,4.15
33,BYD_E6_2021,0.056,0.201,-0.01,0.008,-0.006,0.011,0.029,-0.036,0.324,0.0,0.079605,0.989,0.0,-0.469,0.101,0.017,-0.058,0.0,0.0,-0.211,0.076,0.434424696,0.031,0.031,0.068,0.138,-0.055,-0.034,-0.015,2.761904762,3.333333333,4.380952381,2.666666667,3.666666667,2.857142857,1.714285714,3.952380952,3.761904762,4.714285714,6.0,5.619047619,3.476190476,6.095238095
