carfolder,folder_name,Cd,Cl
cx5_247,cx5_247,0.305925,-0.0792702
cx5_248,cx5_248,0.301635,-0.0839486
cx5_249,cx5_249,0.311516,-0.0890455
cx5_250,cx5_250,0.304577,-0.0646899
cx5_251,cx5_251,0.307418,-0.0948848
cx5_252,cx5_252,0.299878,-0.092714
cx5_253,cx5_253,0.318268,-0.10044
cx5_254,cx5_254,0.298051,-0.0861987
cx5_255,cx5_255,0.291151,-0.0682882
cx5_256,cx5_256,0.300474,-0.0697111
cx5_257,cx5_257,0.304437078,-0.090734318
cx5_258,cx5_258,0.308887,-0.111548
cx5_259,cx5_259,0.294176,-0.0791768
cx5_260,cx5_260,0.327364,-0.123371
cx5_261,cx5_261,0.307567,-0.104355
cx5_262,cx5_262,0.309803,-0.112002
cx5_263,cx5_263,0.300391,-0.0968735
cx5_264,cx5_264,0.307507,-0.089017
cx5_265,cx5_265,0.304542,-0.0778627
cx5_266,cx5_266,0.323952,-0.107526
cx5_267,cx5_267,0.329877,-0.0982868
cx5_268,cx5_268,0.311393,-0.0799834
cx5_269,cx5_269,0.30117,-0.0674045
cx5_270,cx5_270,0.310442,-0.0941198
cx5_271,cx5_271,0.307711,-0.0858657
cx5_272,cx5_272,0.312934,-0.0953876
cx5_273,cx5_273,0.310822455,-0.106379035
cx5_274,cx5_274,0.322592,-0.125181
cx5_275,cx5_275,0.307455,-0.101984
cx5_276,cx5_276,0.307741,-0.10168
cx5_277,cx5_277,0.320338,-0.105624
cx5_278,cx5_278,0.312714,-0.117751
cx5_279,cx5_279,0.315722,-0.106553
cx5_280,cx5_280,0.316394,-0.101288
cx5_281,cx5_281,0.324144,-0.109221
cx5_282,cx5_282,0.302003,-0.0815545
cx5_283,cx5_283,0.300677,-0.0801641
cx5_284,cx5_284,0.307813,-0.0965002
cx5_285,cx5_285,0.314825,-0.0983701
cx5_286,cx5_286,0.315476,-0.0976447
cx5_287,cx5_287,0.313772,-0.115627
cx5_288,cx5_288,0.303788,-0.0922952
cx5_289,cx5_289,0.323665411,-0.109796583
cx5_290,cx5_290,0.322273,-0.130143
cx5_291,cx5_291,0.311136,-0.102288
cx5_292,cx5_292,0.325664,-0.113794
cx5_293,cx5_293,0.320357,-0.0984111
cx5_294,cx5_294,0.320661,-0.128993
cx5_295,cx5_295,0.325163,-0.125263
cx5_296,cx5_296,0.324307,-0.11664
cx5_297,cx5_297,0.308623,-0.111932
cx5_298,cx5_298,0.332239,-0.124128
cx5_299,cx5_299,0.307031,-0.0943756
cx5_300,cx5_300,0.307706,-0.0914267
cx5_301,cx5_301,0.300794,-0.0789227
cx5_302,cx5_302,0.312127,-0.0998405
cx5_303,cx5_303,0.31195,-0.0978883
cx5_304,cx5_304,0.3159,-0.106283
