carfolder,folder_name,Cd,Cl,des_1,des_2,des_3,des_4,des_5,des_6,des_7,des_8,des_9,des_10,des_11,des_12,des_13,des_14,des_15,des_16,des_17,des_18,des_19,des_20,des_21,des_22,des_23,des_24,des_25,des_26,des_27,des_28,des_29
cx5_042,cx5_042,0.320585029,-0.049372299,0.2,0.14,-0.016,-0.05,0.14,0.0,-0.02,0.04,-0.02,-0.02,0.075,1.05,-0.034,-0.05,-0.05,0.04,-0.04,0.018,0.034,0.06,0.018,0.34,0.0,-0.05,0.02,0.034,0.018,0.0,0.018
cx5_043,cx5_043,0.306795052,-0.046841968,0.1,0.08,-0.034,0.0,0.06,0.0,0.04,-0.04,0.04,-0.01,0.075,1.0,-0.034,-0.05,-0.05,0.04,0.04,0.018,0.034,-0.06,0.018,-0.6,-0.05,-0.05,-0.02,0.018,0.018,0.05,-0.016
cx5_044,cx5_044,0.308907453,-0.035243129,0.1,0.08,-0.034,-0.05,0.08,-0.05,-0.02,0.04,-0.02,-0.01,0.07,1.0,-0.034,-0.05,-0.05,-0.02,-0.02,0.034,0.018,-0.06,0.018,-0.6,-0.05,-0.05,-0.018,0.018,0.018,0.0,0.018
cx5_045,cx5_045,0.322406309,-0.05597109,0.2,0.08,-0.016,0.0,0.14,-0.05,0.04,0.04,-0.02,-0.01,0.07,1.05,-0.034,0.05,-0.05,0.04,-0.02,0.034,0.034,-0.08,0.018,0.4,-0.05,-0.05,-0.02,0.018,0.034,0.0,0.018
cx5_046,cx5_046,0.319683681,-0.045991298,0.2,0.14,-0.016,0.0,0.08,0.0,0.04,0.04,-0.02,-0.02,0.075,1.0,-0.016,0.042,-0.05,-0.02,0.04,0.018,0.018,0.06,0.034,-0.6,-0.052,0.0,0.022,0.018,0.034,0.05,0.018
cx5_047,cx5_047,0.31158987,-0.023044626,0.1,0.08,-0.034,-0.05,0.14,0.0,0.04,0.04,0.04,-0.01,0.075,1.0,-0.034,-0.05,0.052,0.04,0.04,0.034,0.034,-0.06,0.016,-0.6,-0.048,-0.05,-0.02,0.018,0.034,0.0,0.018
cx5_048,cx5_048,0.31623088,-0.044856862,0.2,0.08,-0.016,-0.05,0.14,-0.05,-0.02,-0.02,0.04,-0.02,0.0702,1.004,-0.016,-0.05,0.05,0.04,0.04,0.034,0.034,0.06,0.018,0.4,-0.05,0.0,-0.02,0.034,0.018,0.05,0.018
cx5_049,cx5_049,0.322792194,-0.055417661,0.2,0.08,-0.018,0.0,0.14,0.0,-0.02,-0.04,-0.02,-0.01,0.07,1.0,-0.016,0.05,0.05,-0.02,0.04,0.018,0.04,0.06,0.018,-0.6,-0.05,0.0,-0.02,0.034,0.018,-0.006,-0.018
cx5_050,cx5_050,0.313214393,-0.032193632,0.1,0.06,-0.018,-0.05,0.08,0.0,-0.02,0.04,0.04,-0.01,0.0702,1.05,-0.016,0.05,0.048,0.04,-0.02,0.018,0.018,-0.08,0.018,-0.6,-0.05,-0.05,0.02,0.034,0.034,0.05,0.018
cx5_051,cx5_051,0.318723362,-0.044027518,0.2,0.14,-0.034,0.0,0.08,-0.05,0.04,0.04,-0.02,-0.02,0.075,1.0,-0.016,0.05,-0.05,0.04,0.04,0.034,0.034,-0.06,0.034,0.4,-0.052,-0.05,0.02,0.034,0.034,0.05,-0.016
cx5_052,cx5_052,0.310532704,-0.05062275,0.1,0.14,-0.034,0.0,0.08,-0.05,0.04,0.04,-0.02,-0.02,0.075,1.0,-0.016,0.05,-0.05,0.04,-0.02,0.034,0.034,-0.06,0.034,0.4,-0.05,-0.05,0.018,0.034,0.018,0.05,-0.016
cx5_053,cx5_053,0.312835824,-0.026747859,0.1,0.08,-0.034,0.0,0.14,0.0,0.04,0.04,0.04,-0.02,0.075,1.052,-0.034,-0.05,-0.05,0.04,0.04,0.018,0.034,-0.06,0.016,-0.56,0.0,-0.05,-0.02,0.018,0.018,0.05,0.018
cx5_054,cx5_054,0.31064231,-0.06922898,0.2,0.14,-0.034,0.0,0.08,-0.05,0.04,0.04,-0.02,-0.02,0.075,1.0,-0.016,0.05,0.048,0.04,-0.02,0.018,0.016,-0.06,0.018,0.4,-0.052,-0.05,0.02,0.034,0.014,0.05,-0.016
cx5_055,cx5_055,0.320923171,-0.064189197,0.2,0.08,-0.018,-0.05,0.14,-0.05,0.04,-0.04,-0.02,-0.01,0.07,1.05,-0.034,0.046,-0.05,0.04,-0.02,0.034,0.034,-0.08,0.034,0.4,-0.05,-0.05,0.02,0.018,0.034,0.0,0.018
cx5_056,cx5_056,0.315314804,-0.035899715,0.18,0.08,-0.016,0.0,0.08,0.0,-0.02,-0.02,0.04,-0.02,0.075,1.05,-0.018,0.048,-0.05,-0.02,0.04,0.018,0.034,0.06,0.018,-0.6,-0.05,-0.05,-0.02,0.018,0.034,0.05,-0.016
cx5_057,cx5_057,0.310868316,-0.051419704,0.12,0.08,-0.034,-0.05,0.08,-0.05,-0.02,0.04,0.04,-0.01,0.0744,1.05,-0.016,0.05,0.05,0.04,-0.04,0.018,0.018,-0.06,0.018,-0.6,0.0,0.0,0.018,0.036,0.016,0.05,0.018
cx5_058,cx5_058,0.318528919,-0.062266747,0.2,0.08,-0.016,-0.05,0.14,-0.048,0.04,-0.04,-0.02,-0.01,0.07,1.05,-0.034,0.05,-0.05,0.04,-0.02,0.016,0.018,0.06,0.016,0.4,-0.05,-0.05,-0.02,0.018,0.034,0.0,0.018
